node_id,  x,  y,  z,  neighbor_id,  flow,  pressure drop
      0,  906.00, 3977.00,  705.00,           62,    1.306555,     35.5527
      1,  898.00, 4006.00,  711.00,          186,    1.342782,     35.2698
      2,  890.00, 3971.00,  712.00,          184,    0.146315,     33.7784
      3,  923.00, 3975.00,  716.00,          145,    0.912496,     34.2065
      4,  959.00, 3942.00,  750.00,          555,    1.165745,     32.7443
      5,  916.00, 3915.00,  700.00,           50,    0.431802,     32.5984
      5,  916.00, 3915.00,  700.00,           81,   -0.431802,     32.5984
      6,  922.00, 3928.00,  700.00,           55,    2.250653,     33.8625
      7,  924.00, 3944.00,  700.00,           20,    0.244146,     32.6406
      7,  924.00, 3944.00,  700.00,           21,    0.128350,     32.6406
      7,  924.00, 3944.00,  700.00,           22,   -0.372489,     32.6406
      8,  973.00, 3946.00,  700.00,           86,   -0.062520,     32.6546
      8,  973.00, 3946.00,  700.00,           41,    0.062519,     32.6546
      9,  895.00, 3970.00,  700.00,           73,    2.176573,     33.9909
     10,  952.00, 3973.00,  700.00,           36,    0.108952,     33.0881
     10,  952.00, 3973.00,  700.00,           35,   -0.108950,     33.0881
     11,  974.00, 3973.00,  700.00,           74,   -1.417702,     33.7944
     11,  974.00, 3973.00,  700.00,           44,    1.417702,     33.7944
     12,  965.00, 3986.00,  700.00,           38,    0.965278,     33.8347
     12,  965.00, 3986.00,  700.00,          110,   -0.965278,     33.8347
     13,  948.00, 3999.00,  700.00,           79,   16.548350,     35.1837
     13,  948.00, 3999.00,  700.00,           14,  -16.548352,     35.1837
     14,  949.33, 4002.33,  700.00,           49,  -16.548348,     35.4052
     15,  922.00, 4006.00,  700.00,           64,   -0.000002,     33.9647
     15,  922.00, 4006.00,  700.00,           48,   -0.000000,     33.9647
     16,  922.00, 3911.00,  701.00,           91,    1.820395,     33.5447
     17,  954.00, 3919.00,  701.00,           52,   -0.643981,     34.6525
     17,  954.00, 3919.00,  701.00,           32,    0.643982,     34.6525
     18,  941.00, 3921.00,  701.00,           53,    7.759475,     35.0292
     19,  951.00, 3936.00,  701.00,          152,    0.607698,     33.9607
     19,  951.00, 3936.00,  701.00,           56,   -0.607698,     33.9607
     20,  925.33, 3939.33,  700.33,          124,    0.244142,     32.6362
     22,  927.00, 3953.75,  700.25,           33,   -0.056263,     32.6855
     22,  927.00, 3953.75,  700.25,           68,   -0.316225,     32.6855
     23,  946.00, 3974.00,  701.00,          120,    1.148302,     33.0685
     23,  946.00, 3974.00,  701.00,           36,   -1.148304,     33.0685
     24,  924.33, 3974.67,  700.33,           61,    1.777896,     34.0189
     25,  913.00, 3979.67,  700.67,           45,    1.614431,     35.1679
     26,  933.33, 3982.67,  700.67,           46,   -0.118535,     33.7644
     26,  933.33, 3982.67,  700.67,           75,    0.118535,     33.7644
     27,  894.67, 3989.33,  700.33,           47,    0.563193,     32.6608
     27,  894.67, 3989.33,  700.33,          109,   -0.563193,     32.6608
     28,  957.38, 3987.38,  700.25,          207,    0.719397,     33.4951
     28,  957.38, 3987.38,  700.25,          134,   -1.693092,     33.4951
     28,  957.38, 3987.38,  700.25,          133,    1.828152,     33.4951
     28,  957.38, 3987.38,  700.25,           38,   -0.854457,     33.4951
     29,  909.00, 3998.00,  701.00,           90,    6.130325,     34.8563
     30,  938.00, 4003.00,  701.00,           79,   -5.297569,     34.1924
     30,  938.00, 4003.00,  701.00,           80,    5.297567,     34.1924
     31,  889.67, 3921.67,  701.67,           54,   -1.482785,     33.3010
     31,  889.67, 3921.67,  701.67,          102,    1.482783,     33.3010
     32,  951.00, 3926.50,  701.50,           56,    3.126032,     34.3414
